AAAABBBBCCCCDDDD||......., 0
...B.CBD.BAA.ACC||CDDBDA., 10000000
...B.CBD.BAA..CC||CDDBDAA, 10000000
...B.CBD.BAA.ACC||CDDBD.A, 10000000
...B.CBD.BAAAACC||CDDBD.., 10000000
...B.CBD..AAAACC||CDDBBD., 10000000
...B.CBD.BAA.ACC||CDDBAD., 10000000
...B.CBD.BAAAACC||CDDB.D., 10000000
...B.CBD..AA.ACC||CDDBBAD, 10000000
...B.CBD..AAAACC||CDDBB.D, 10000000
...B.CBD...AAACC||CDDBABD, 10000000
...B.CBD..AA.ACC||CDDBABD, 10000000
...B.CBD..AAAACC||CDDB.BD, 10000000
...B.CBD.BAA..CC||CDDBAAD, 10000000
...B.CBD.BAA.ACC||CDDBA.D, 10000000
...B.CBD.BAA.ACC||CDDB.AD, 10000000
...B.CBD.BAAAACC||CDDB..D, 10000000
...B.CBDDBAA..CC||CDDBAA., 10000000
...B.CBDDBAA...C||CDDBACA, 10000000
...B.CBDDBAA..CC||CDDBA.A, 10000000
...B.CBDDBAA.ACC||CDDBA.., 10000000
...B.CBDDBAA.ACC||CDDB.A., 10000000
...B.CBD..AA.ACC||CDDBBDA, 10000000
...B.CBD.BAA..CC||CDDBADA, 10000000
...B.CBD.BAA.ACC||CDDB.DA, 10000000
...B.CBDDBAA...C||CDDBCAA, 10000000
...B.CBDDBAA..CC||CDDB.AA, 10000000
...B.CBDDBAA.ACC||CDDB..A, 10000000
...B.CBDDBAAAACC||CDDB..., 10000000
...B..BDDBAA.ACC||CDDCBA., 10000000
...B..BDDBAA..CC||CDDCBAA, 10000000
...B..BDDBAA.ACC||CDDCB.A, 10000000
...B..BDDBAAAACC||CDDCB.., 10000000
...B.CBD.BAA.ACC||CDDDBA., 10000000
...B.CBD.BAA..CC||CDDDBAA, 10000000
...B.CBD.BAA.ACC||CDDDB.A, 10000000
...B.CBD.BAAAACC||CDDDB.., 10000000
...B.CBDDBAA.ACC||CDD.BA., 10000000
...B.CBDDBAA..CC||CDD.BAA, 10000000
